,Brand,Model,Year,Fuel,KM driven,Price
2730,Maruti,Swift,2015,Diesel,"1,11,167 km","₹5,00,099"
2731,Maruti,Swift,2016,Petrol,"85,566 km","₹5,30,899"
2732,Maruti,Celerio,2015,Petrol,"22,159 km","₹3,62,299"
2733,Maruti,Vitara,2016,Diesel,"96,919 km","₹6,72,399"
2734,Toyota,Innova,2015,Diesel,"89,358 km","₹9,05,099"
2735,Maruti,Swift,2014,Diesel,"89,794 km","₹4,65,699"
2736,Hyundai,Verna,2019,Petrol,"11,728 km","₹8,93,199"
2737,Maruti,Ciaz,2018,Diesel,"50,685 km","₹7,72,199"
2738,Maruti,Swift,2018,Petrol,"23,649 km","₹6,18,799"
2739,Maruti,Alto,2015,Petrol,"12,341 km","₹3,11,499"
2740,Maruti,S,2018,Diesel,"28,912 km","₹9,28,799"
2741,Tata,Tiago,2018,Petrol,"25,032 km","₹4,51,199"
2742,Maruti,S,2018,Diesel,"19,001 km","₹8,14,699"
2743,Maruti,Vitara,2017,Diesel,"74,197 km","₹6,52,299"
2744,Hyundai,Verna,2016,Petrol,"6,319 km","₹5,20,599"
2745,Honda,WR-V,2018,Diesel,"37,639 km","₹7,56,599"
2746,Ford,Ecosport,2018,Petrol,"14,838 km","₹7,01,499"
2747,Maruti,Vitara,2017,Diesel,"38,464 km","₹7,32,399"
2748,Maruti,Baleno,2018,Petrol,"19,481 km","₹6,34,199"
2749,Maruti,Alto,2017,Petrol,"15,575 km","₹3,13,799"
2750,Maruti,IGNIS,2018,Petrol,"11,321 km","₹5,69,499"
2751,Hyundai,Elite,2015,Diesel,"1,04,937 km","₹4,71,499"
2752,Ford,Ecosport,2018,Petrol,"29,751 km","₹8,34,499"
2753,Maruti,Celerio,2019,Petrol,"6,559 km","₹5,11,199"
2754,Hyundai,Creta,2015,Diesel,"1,02,938 km","₹7,74,299"
2755,Honda,City,2015,Petrol,"38,714 km","₹5,52,299"
2756,Maruti,S,2020,Petrol,"8,651 km","₹4,32,499"
2757,Hyundai,Elite,2014,Petrol,"80,954 km","₹5,16,499"
2758,Maruti,Vitara,2018,Diesel,"35,579 km","₹9,43,499"
2759,Honda,Brio,2016,Petrol,"15,805 km","₹4,00,799"
2760,Honda,Amaze,2013,Petrol,"15,271 km","₹4,14,599"
2761,Tata,Hexa,2017,Diesel,"99,380 km","₹8,98,299"
2762,Hyundai,Creta,2016,Petrol,"14,897 km","₹9,89,499"
2763,Maruti,Celerio,2014,Petrol,"64,208 km","₹3,84,899"
2764,Hyundai,Elite,2016,Petrol,"22,594 km","₹5,10,299"
2765,Maruti,Dzire,2017,Petrol,"1,16,512 km","₹5,75,499"
2766,Hyundai,Grand,2016,Petrol,"33,565 km","₹4,14,099"
2767,Ford,Ecosport,2016,Petrol,"23,304 km","₹6,21,299"
2768,Hyundai,Eon,2014,Petrol,"63,171 km","₹2,40,399"
2769,Honda,Jazz,2011,Petrol,"1,21,543 km","₹2,52,399"
2770,Maruti,Celerio,2014,Petrol,"15,647 km","₹3,70,399"
2771,Hyundai,Elite,2016,Petrol,"28,761 km","₹5,07,999"
2772,Tata,Tiago,2017,Petrol,"26,102 km","₹4,63,199"
2773,Hyundai,Eon,2013,Petrol,"13,809 km","₹2,19,699"
2774,Maruti,Ritz,2013,Petrol,"21,445 km","₹3,23,899"
2775,Maruti,Swift,2015,Petrol,"62,081 km","₹4,41,199"
2776,Ford,Ecosport,2018,Petrol,"8,925 km","₹7,39,699"
2777,Maruti,Wagon,2015,Petrol,"57,492 km","₹3,28,999"
2778,Maruti,Swift,2015,Petrol,"44,747 km","₹4,27,899"
2779,Maruti,Baleno,2017,Petrol,"10,530 km","₹6,22,199"
2780,Maruti,Wagon,2017,Petrol,"33,826 km","₹4,05,399"
2781,Hyundai,Creta,2017,Diesel,"79,362 km","₹11,03,399"
2782,Maruti,Vitara,2019,Diesel,"42,680 km","₹8,04,599"
2783,Tata,Nano,2017,Petrol,"41,959 km","₹2,25,799"
2784,Maruti,Celerio,2017,Petrol,"10,142 km","₹4,09,799"
2785,Hyundai,i20,2010,Petrol + CNG,"87,846 km","₹1,63,299"
2786,Tata,Tiago,2017,Petrol,"16,358 km","₹3,97,099"
2787,Maruti,Ertiga,2015,Diesel,"49,628 km","₹6,45,499"
2788,Maruti,Swift,2012,Petrol,"78,889 km","₹3,78,499"
2789,Maruti,Ertiga,2016,Diesel,"78,094 km","₹7,63,199"
2790,Honda,Mobilio,2014,Diesel,"24,169 km","₹5,00,099"
2791,Datsun,Redi,2017,Petrol,"17,774 km","₹2,56,799"
2792,Maruti,Dzire,2017,Petrol,"37,024 km","₹5,62,099"
2793,Maruti,Swift,2013,Petrol,"39,859 km","₹4,16,299"
2794,Honda,Amaze,2014,Diesel,"57,348 km","₹3,96,899"
2795,Maruti,Swift,2016,Petrol,"39,608 km","₹4,11,099"
2796,Ford,Ecosport,2016,Diesel,"51,849 km","₹6,12,399"
2797,Ford,Ecosport,2014,Petrol,"44,165 km","₹4,66,999"
2798,Hyundai,Elite,2017,Petrol,"40,991 km","₹5,25,999"
2799,Maruti,Ertiga,2017,Diesel,"62,533 km","₹8,22,399"
2800,Maruti,New,2020,Petrol + CNG,"9,595 km","₹5,89,399"
2801,Tata,Hexa,2018,Diesel,"39,905 km","₹13,55,199"
2802,Ford,Ecosport,2016,Diesel,"86,474 km","₹5,94,399"
2803,Maruti,Alto,2015,Petrol + CNG,"61,386 km","₹2,36,499"
2804,Hyundai,Creta,2018,Petrol,"15,061 km","₹10,19,299"
2805,Maruti,IGNIS,2018,Petrol,"12,811 km","₹4,41,499"
2806,Hyundai,Creta,2017,Petrol,"31,602 km","₹10,61,399"
2807,Hyundai,GRAND,2019,Petrol,"13,922 km","₹6,50,999"
2808,Hyundai,GRAND,2019,Petrol,"2,047 km","₹7,09,599"
2809,Hyundai,Eon,2018,Petrol,"5,701 km","₹3,63,999"
2810,Maruti,Baleno,2017,Petrol + CNG,"60,665 km","₹5,32,299"
2811,Toyota,Camry,2009,Petrol,"99,864 km","₹3,07,299"
2812,Maruti,Dzire,2017,Petrol,"19,822 km","₹6,28,699"
2813,Maruti,Dzire,2017,Diesel,"15,738 km","₹6,71,699"
2814,Ford,Figo,2018,Diesel,"47,965 km","₹5,16,399"
2815,Hyundai,Elite,2017,Petrol,"11,375 km","₹6,37,399"
2816,Hyundai,Creta,2016,Petrol,"39,036 km","₹9,44,399"
2817,KIA,SELTOS,2020,Diesel,"20,305 km","₹15,57,599"
2818,Hyundai,Creta,2018,Diesel,"48,945 km","₹9,09,099"
2819,Maruti,Swift,2016,Diesel,"82,420 km","₹5,34,399"
2820,Hyundai,Elite,2017,Petrol,"32,251 km","₹6,10,899"
2821,Hyundai,VENUE,2020,Petrol,547 km,"₹8,26,399"
2822,Maruti,Alto,2016,Petrol,"16,709 km","₹2,66,799"
2823,Mahindra,Kuv100,2016,Petrol,"44,486 km","₹3,90,799"
2824,Hyundai,Creta,2018,Diesel,"42,360 km","₹13,07,499"
2825,Maruti,Alto,2017,Petrol,"16,069 km","₹3,07,599"
2826,Ford,Ecosport,2014,Petrol,"39,985 km","₹5,67,399"
2827,Maruti,Celerio,2018,Petrol,"15,478 km","₹4,72,699"
2828,Hyundai,Creta,2015,Diesel,"1,10,584 km","₹9,07,699"
2829,Volkswagen,Ameo,2016,Petrol,"31,192 km","₹5,26,499"
2830,MG,HECTOR,2020,Petrol,"8,149 km","₹16,99,799"
2831,Hyundai,Xcent,2014,Petrol,"56,864 km","₹3,97,799"
2832,Hyundai,i20,2017,Petrol,"57,900 km","₹5,82,699"
2833,Hyundai,Elite,2014,Petrol,"43,096 km","₹5,12,599"
2834,Maruti,Vitara,2016,Diesel,"97,103 km","₹7,73,199"
2835,Maruti,Vitara,2018,Diesel,"36,894 km","₹8,24,199"
2836,Honda,WR-V,2017,Petrol,"1,00,164 km","₹6,92,499"
2837,Hyundai,i20,2016,Diesel,"82,548 km","₹5,96,399"
2838,Honda,WR-V,2017,Petrol,"37,871 km","₹7,23,799"
2839,Honda,Brio,2015,Petrol,"30,487 km","₹3,82,699"
2840,Honda,WR-V,2017,Diesel,"53,017 km","₹7,61,999"
2841,Maruti,Dzire,2017,Diesel,"1,07,185 km","₹6,74,399"
2842,Hyundai,VENUE,2019,Diesel,"11,482 km","₹9,11,699"
2843,Hyundai,Creta,2016,Petrol,"36,863 km","₹8,76,399"
2844,Hyundai,VENUE,2019,Diesel,"23,558 km","₹9,94,699"
2845,Maruti,Dzire,2017,Petrol,"92,719 km","₹7,17,899"
2846,Maruti,Dzire,2017,Diesel,"40,204 km","₹7,30,399"
2847,Hyundai,Elite,2016,Petrol,"45,362 km","₹5,60,499"
2848,Maruti,Celerio,2014,Petrol,"24,317 km","₹3,83,299"
2849,Maruti,Baleno,2016,Petrol,"50,022 km","₹5,12,799"
2850,Hyundai,Elite,2017,Petrol,"11,371 km","₹5,39,199"
2851,Maruti,S,2017,Diesel,"32,479 km","₹7,16,799"
2852,KIA,SELTOS,2019,Petrol,"14,320 km","₹17,28,499"
2853,KIA,SELTOS,2019,Petrol,"5,348 km","₹18,49,799"
2854,Volkswagen,Vento,2015,Petrol,"62,093 km","₹5,46,399"
2855,Hyundai,Elite,2018,Petrol,"21,666 km","₹5,83,399"
2856,Maruti,S,2017,Diesel,"43,867 km","₹7,38,799"
2857,Maruti,Swift,2019,Petrol,"4,888 km","₹7,03,499"
2858,Maruti,Ertiga,2017,Diesel,"46,339 km","₹7,70,599"
2859,Maruti,IGNIS,2017,Petrol,"12,099 km","₹4,76,599"
2860,KIA,SELTOS,2019,Petrol,"12,046 km","₹17,78,199"
2861,Maruti,Swift,2020,Petrol,"16,286 km","₹6,15,399"
2862,Hyundai,Elite,2019,Petrol,"1,898 km","₹7,34,399"
2863,Volkswagen,Polo,2017,Petrol,"12,773 km","₹7,47,099"
2864,MG,HECTOR,2019,Petrol,"2,978 km","₹18,63,999"
2865,Toyota,Camry,2017,Petrol,"69,593 km","₹18,77,199"
2866,Maruti,S,2017,Diesel,"67,396 km","₹7,98,899"
2867,Hyundai,Verna,2018,Petrol,"24,240 km","₹10,47,399"
2868,Hyundai,Verna,2018,Petrol,"16,869 km","₹10,53,199"
2869,Maruti,Baleno,2018,Petrol,"29,701 km","₹5,63,699"
2870,Maruti,Alto,2019,Petrol,"21,494 km","₹3,52,199"
2871,Maruti,Dzire,2018,Petrol,"15,755 km","₹6,62,399"
2872,Ford,Ecosport,2018,Petrol,"12,961 km","₹8,27,299"
2873,Maruti,Baleno,2016,Petrol,"42,062 km","₹6,31,899"
2874,Volkswagen,Polo,2016,Petrol,"48,730 km","₹5,97,099"
2875,Maruti,Baleno,2019,Petrol,"15,112 km","₹6,47,599"
2876,Honda,WR-V,2018,Petrol,"17,699 km","₹7,76,199"
2877,Hyundai,Verna,2018,Petrol,"12,584 km","₹11,23,999"
2878,Ford,Ecosport,2019,Petrol,"17,463 km","₹8,95,299"
2879,Maruti,Baleno,2017,Petrol,"12,840 km","₹6,04,399"
2880,Honda,WR-V,2018,Petrol,"16,631 km","₹8,50,899"
2881,Maruti,IGNIS,2019,Petrol,"13,058 km","₹5,53,499"
2882,Hyundai,Grand,2016,Petrol,"32,812 km","₹4,33,799"
2883,Maruti,Vitara,2019,Diesel,"21,250 km","₹9,00,899"
2884,Ford,Ecosport,2018,Petrol,"11,860 km","₹8,87,999"
2885,Hyundai,Grand,2019,Petrol,"4,031 km","₹5,26,999"
2886,Maruti,Baleno,2017,Petrol,"31,950 km","₹6,28,799"
2887,Maruti,Vitara,2020,Petrol,"23,940 km","₹9,11,499"
2888,Toyota,Corolla,2016,Petrol,"90,835 km","₹10,78,499"
2889,Maruti,Alto,2018,Petrol,"58,970 km","₹3,27,999"
2890,Maruti,Dzire,2018,Petrol,"6,778 km","₹6,89,599"
2891,Maruti,Swift,2014,Petrol,"30,601 km","₹4,49,699"
2892,Hyundai,VENUE,2020,Petrol,"21,526 km","₹11,60,199"
2893,Maruti,Wagon,2018,Petrol,"35,242 km","₹4,50,199"
2894,Maruti,Alto,2017,Petrol,"55,116 km","₹3,21,699"
2895,Maruti,Swift,2013,Petrol,"42,182 km","₹4,41,799"
2896,Maruti,Vitara,2019,Diesel,"27,771 km","₹9,45,499"
2897,Maruti,Baleno,2017,Petrol,"36,120 km","₹7,02,799"
2898,Maruti,Dzire,2018,Diesel,"26,367 km","₹7,82,999"
2899,Hyundai,Grand,2018,Petrol,"16,228 km","₹5,50,199"
2900,Honda,Jazz,2018,Petrol,"23,178 km","₹6,63,499"
2901,Maruti,Celerio,2018,Petrol,"43,901 km","₹4,51,699"
2902,Maruti,Vitara,2018,Diesel,"20,210 km","₹8,70,499"
2903,Hyundai,i20,2012,Petrol,"37,982 km","₹3,67,499"
2904,Maruti,Alto,2014,Petrol,"22,626 km","₹2,48,899"
2905,Ford,Ecosport,2019,Petrol,"10,102 km","₹9,77,199"
2906,Maruti,Baleno,2019,Petrol,"4,333 km","₹7,50,299"
2907,Hyundai,Grand,2016,Petrol,"15,650 km","₹4,78,599"
2908,Jeep,Compass,2018,Petrol,"13,908 km","₹17,16,699"
2909,MG,HECTOR,2020,Petrol,"8,681 km","₹17,75,099"
2910,Maruti,Dzire,2019,Diesel,"34,404 km","₹8,33,899"
2911,Hyundai,Grand,2016,Petrol,"11,819 km","₹5,10,899"
2912,Jeep,Compass,2018,Petrol,"25,460 km","₹15,76,699"
2913,Maruti,S,2021,Petrol,470 km,"₹4,69,899"
2914,Maruti,Alto,2015,Petrol,"6,248 km","₹2,91,999"
2915,Hyundai,Grand,2015,Petrol,"10,267 km","₹4,74,799"
2916,Maruti,Alto,2018,Petrol,"8,465 km","₹3,20,799"
2917,Maruti,Alto,2018,Petrol,"28,494 km","₹3,29,499"
2918,Toyota,Etios,2011,Petrol,"47,256 km","₹3,08,599"
2919,Hyundai,Creta,2016,Petrol,"43,682 km","₹7,95,399"
2920,Hyundai,Elite,2015,Diesel,"32,895 km","₹6,09,199"
2921,Hyundai,Creta,2016,Petrol,"53,826 km","₹8,23,699"
2922,Maruti,Swift,2013,Petrol,"36,351 km","₹3,97,799"
2923,Maruti,Alto,2015,Petrol,"24,518 km","₹2,65,799"
2924,Maruti,New,2020,Petrol,996 km,"₹6,17,599"
2925,Hyundai,i20,2017,Petrol,"12,910 km","₹6,20,799"
2926,Hyundai,Creta,2019,Diesel,"12,012 km","₹15,03,699"
2927,Maruti,Swift,2013,Diesel,"72,893 km","₹5,60,099"
2928,Maruti,Alto,2016,Petrol,"4,810 km","₹3,46,199"
2929,Hyundai,i10,2014,Petrol,"10,411 km","₹3,00,299"
2930,Maruti,Celerio,2017,Petrol,"66,663 km","₹4,22,899"
2931,Honda,City,2018,Petrol,"18,363 km","₹10,50,299"
2932,Maruti,Ciaz,2018,Petrol,"14,122 km","₹7,12,699"
2933,Hyundai,Elite,2016,Petrol,"69,615 km","₹5,34,799"
2934,Maruti,Alto,2017,Petrol,"13,739 km","₹3,62,299"
2935,Hyundai,Eon,2017,Petrol,"1,140 km","₹3,46,999"
2936,Ford,Ecosport,2017,Diesel,"66,188 km","₹6,46,099"
2937,Hyundai,i20,2013,Diesel,"72,869 km","₹3,94,499"
2938,Renault,Kwid,2018,Petrol,"4,966 km","₹3,83,599"
2939,Maruti,Vitara,2017,Diesel,"46,603 km","₹8,49,099"
2940,Ford,Ecosport,2018,Diesel,"40,157 km","₹8,59,499"
2941,Toyota,Glanza,2019,Petrol,"2,407 km","₹8,41,299"
2942,Hyundai,VENUE,2019,Petrol,"12,231 km","₹10,58,399"
2943,Maruti,S,2020,Petrol,"6,794 km","₹4,56,099"
2944,Maruti,Vitara,2018,Diesel,"43,494 km","₹8,27,399"
2945,Maruti,Vitara,2018,Diesel,"26,395 km","₹8,44,799"
2946,Honda,Amaze,2014,Petrol,"78,312 km","₹4,61,699"
2947,Hyundai,Creta,2017,Diesel,"1,18,008 km","₹8,56,799"
2948,Hyundai,Grand,2016,Petrol,"26,904 km","₹4,63,199"
2949,Mahindra,TUV300,2018,Diesel,"29,735 km","₹7,77,599"
2950,Maruti,Vitara,2017,Diesel,"47,948 km","₹7,14,899"
2951,Hyundai,Grand,2014,Petrol,"19,399 km","₹3,87,099"
2952,Mahindra,Bolero,2020,Diesel,"15,137 km","₹8,85,188"
2953,Skoda,Rapid,2020,Petrol,"6,981 km","₹9,01,299"
2954,Renault,Kwid,2017,Petrol,"31,147 km","₹3,03,199"
2955,Maruti,Swift,2015,Petrol,"95,918 km","₹4,22,999"
2956,Maruti,Dzire,2017,Petrol,"38,194 km","₹6,47,999"
2957,Maruti,Ciaz,2016,Petrol,"30,032 km","₹5,59,699"
2958,Tata,Harrier,2019,Diesel,"22,757 km","₹14,96,999"
2959,Hyundai,Xcent,2014,Petrol,"41,980 km","₹4,20,699"
2960,Hyundai,VENUE,2020,Petrol,"4,489 km","₹9,52,499"
2961,Maruti,Swift,2018,Petrol,"8,339 km","₹5,86,999"
2962,Hyundai,Creta,2017,Diesel,"52,753 km","₹11,06,599"
2963,Maruti,Ciaz,2018,Petrol,"31,002 km","₹8,08,499"
2964,Maruti,Vitara,2017,Diesel,"46,304 km","₹6,70,499"
2965,Honda,Amaze,2019,Diesel,"23,810 km","₹7,75,499"
2966,Hyundai,i20,2016,Petrol,"18,494 km","₹6,04,199"
2967,Hyundai,VENUE,2019,Petrol,"26,448 km","₹10,81,099"
2968,Maruti,Ertiga,2019,Diesel,"31,584 km","₹8,57,499"
2969,Maruti,Vitara,2018,Diesel,"59,639 km","₹8,49,099"
2970,Maruti,New,2019,Petrol,"26,538 km","₹5,23,899"
2971,Honda,Jazz,2012,Petrol,"65,710 km","₹3,23,899"
2972,Ford,Ecosport,2015,Petrol,"27,468 km","₹5,23,499"
2973,Hyundai,Grand,2016,Petrol,"53,881 km","₹4,08,799"
2974,Ford,Ecosport,2018,Petrol,"12,488 km","₹7,49,699"
2975,Maruti,Ciaz,2018,Diesel,"15,511 km","₹8,98,799"
2976,Hyundai,Grand,2016,Petrol,"29,826 km","₹4,19,999"
2977,Maruti,Dzire,2020,Petrol,"3,000 km","₹7,58,599"
2978,Maruti,Celerio,2015,Petrol,"21,306 km","₹3,78,199"
2979,Hyundai,Grand,2017,Petrol,"8,592 km","₹5,04,199"
2980,Honda,Brio,2013,Petrol,"56,857 km","₹3,42,199"
2981,Maruti,Vitara,2018,Diesel,"35,944 km","₹9,46,499"
2982,Ford,Figo,2014,Diesel,"43,237 km","₹3,03,999"
2983,Maruti,Swift,2012,Petrol,"49,478 km","₹3,64,099"
2984,Hyundai,Xcent,2014,Petrol,"35,256 km","₹3,81,699"
2985,Datsun,Redi,2016,Petrol,"48,135 km","₹2,32,599"
2986,Hyundai,Xcent,2017,Petrol + CNG,"24,262 km","₹4,97,599"
2987,Maruti,Wagon,2014,Petrol + CNG,"59,494 km","₹3,24,999"
2988,Maruti,Swift,2016,Diesel,"64,120 km","₹5,80,099"
2989,Hyundai,i10,2011,Petrol,"23,073 km","₹2,28,699"
2990,Datsun,Redi,2018,Petrol,"4,190 km","₹2,66,799"
2991,Tata,Hexa,2018,Diesel,"29,404 km","₹11,22,599"
2992,Volkswagen,Polo,2018,Petrol,"43,686 km","₹5,06,499"
2993,Maruti,Swift,2013,Diesel,"35,212 km","₹4,14,199"
2994,Maruti,New,2019,Petrol,"3,555 km","₹5,21,899"
2995,Toyota,Innova,2017,Diesel,"44,371 km","₹15,45,899"
2996,Maruti,Wagon,2016,Petrol,"19,759 km","₹4,13,399"
2997,Ford,Ecosport,2015,Diesel,"62,314 km","₹5,41,699"
2998,Honda,City,2017,Petrol,"44,106 km","₹9,11,099"
2999,Hyundai,i20,2013,Petrol,"22,785 km","₹3,73,999"
3000,Hyundai,Creta,2016,Petrol,"39,104 km","₹10,56,399"
3001,Maruti,Ertiga,2020,Petrol + CNG,"32,402 km","₹10,30,799"
3002,Maruti,Celerio,2017,Petrol + CNG,"25,109 km","₹4,29,399"
3003,Hyundai,Verna,2018,Diesel,"12,729 km","₹10,84,299"
3004,Honda,Amaze,2018,Petrol,"14,604 km","₹6,40,799"
3005,Maruti,Swift,2020,Petrol,"1,550 km","₹6,27,799"
3006,Hyundai,Elite,2017,Diesel,"68,595 km","₹5,92,399"
3007,Maruti,Swift,2018,Diesel,"5,284 km","₹6,50,399"
3008,Maruti,Alto,2017,Petrol + CNG,"1,519 km","₹3,57,699"
3009,Maruti,Baleno,2017,Petrol,"48,530 km","₹5,33,999"
3010,Maruti,Swift,2019,Diesel,"19,590 km","₹7,03,799"
3011,Renault,Kwid,2019,Petrol,"10,737 km","₹3,90,599"
3012,Ford,Ecosport,2019,Diesel,"17,152 km","₹9,26,299"
3013,Hyundai,Grand,2014,Petrol,"52,072 km","₹4,02,899"
3014,Renault,Kwid,2019,Petrol,"7,547 km","₹4,83,599"
3015,Hyundai,Xcent,2016,Petrol,"9,601 km","₹4,06,099"
3016,Ford,Ecosport,2016,Petrol,"90,702 km","₹4,96,599"
3017,Tata,NEXON,2019,Diesel,"34,218 km","₹8,21,099"
3018,Honda,Amaze,2013,Petrol,"82,804 km","₹3,43,399"
3019,Maruti,Alto,2009,Petrol,"24,472 km","₹1,32,799"
3020,Hyundai,Creta,2015,Diesel,"38,792 km","₹7,98,299"
3021,Maruti,Swift,2017,Petrol,"33,209 km","₹4,51,499"
3022,Honda,WR-V,2017,Petrol,"20,926 km","₹5,61,699"
3023,Maruti,Baleno,2017,Petrol,"36,944 km","₹5,01,599"
3024,KIA,SELTOS,2019,Petrol,"15,420 km","₹11,81,599"
3025,Honda,Brio,2016,Petrol,"57,330 km","₹3,28,599"
3026,Ford,Ecosport,2018,Diesel,"36,010 km","₹7,70,999"
3027,Ford,Ecosport,2018,Diesel,"41,336 km","₹6,88,599"
3028,Hyundai,Xcent,2015,Petrol,"86,726 km","₹4,50,599"
3029,Maruti,Wagon,2015,Petrol,"31,278 km","₹3,37,999"
3030,MG,HECTOR,2019,Petrol,"7,362 km","₹14,48,899"
3031,Maruti,Vitara,2018,Diesel,"99,106 km","₹6,86,399"
3032,Maruti,S,2020,Petrol,"3,606 km","₹3,92,899"
3033,Hyundai,Verna,2013,Diesel,"36,502 km","₹5,00,799"
3034,Ford,New,2015,Petrol,"14,367 km","₹3,40,499"
3035,Maruti,Dzire,2017,Petrol,"67,513 km","₹6,20,599"
3036,Maruti,Ertiga,2017,Diesel,"93,844 km","₹7,57,699"
3037,Maruti,Celerio,2014,Petrol,"33,246 km","₹4,06,199"
3038,Hyundai,VENUE,2019,Petrol,"8,924 km","₹9,89,499"
3039,Hyundai,New,2017,Diesel,"69,070 km","₹11,68,099"
3040,Hyundai,Verna,2018,Diesel,"35,363 km","₹10,30,799"
3041,Hyundai,Elite,2019,Petrol,"13,240 km","₹7,34,099"
3042,Tata,NEXON,2018,Petrol,"18,534 km","₹8,59,199"
3043,Maruti,Vitara,2017,Diesel,"70,598 km","₹6,25,799"
3044,KIA,SELTOS,2019,Petrol,"12,872 km","₹12,03,199"
3045,Maruti,Baleno,2018,Petrol,"25,115 km","₹6,00,599"
3046,Hyundai,Elite,2016,Petrol,"44,528 km","₹5,40,799"
3047,KIA,SELTOS,2019,Petrol,"20,989 km","₹15,54,799"
3048,KIA,SELTOS,2019,Diesel,"34,292 km","₹16,12,099"
3049,Ford,Ecosport,2018,Petrol,"20,282 km","₹7,20,999"
3050,Maruti,IGNIS,2017,Petrol,"16,256 km","₹5,32,899"
3051,Maruti,IGNIS,2017,Petrol,"24,753 km","₹5,04,599"
3052,Maruti,IGNIS,2017,Petrol,"41,139 km","₹4,93,599"
3053,Nissan,Micra,2018,Petrol,"14,360 km","₹6,22,099"
3054,Hyundai,Elite,2016,Petrol,"84,580 km","₹5,59,999"
3055,Hyundai,Elite,2017,Petrol,"25,111 km","₹6,09,299"
3056,Honda,City,2018,Petrol,"17,138 km","₹9,83,099"
3057,Hyundai,i20,2012,Petrol,"31,372 km","₹3,97,199"
3058,Hyundai,Elite,2018,Petrol,"10,222 km","₹7,71,699"
3059,Honda,City,2019,Petrol,"1,810 km","₹11,10,499"
3060,Maruti,Baleno,2016,Petrol,"58,063 km","₹5,48,399"
3061,Honda,Amaze,2014,Diesel,"54,831 km","₹3,69,499"
3062,Maruti,Baleno,2016,Diesel,"96,899 km","₹5,68,999"
3063,Maruti,Ertiga,2019,Diesel,"24,585 km","₹12,06,899"
3064,Maruti,Baleno,2019,Petrol,"10,357 km","₹6,98,299"
3065,Maruti,Celerio,2016,Petrol,"51,815 km","₹3,91,399"
3066,Maruti,Baleno,2017,Petrol,"18,994 km","₹6,09,299"
3067,Ford,Ecosport,2018,Petrol,"17,005 km","₹9,15,199"
3068,Maruti,Vitara,2017,Diesel,"24,367 km","₹7,14,899"
3069,Maruti,Vitara,2019,Diesel,"67,109 km","₹7,75,099"
3070,Hyundai,Elite,2018,Petrol,"4,649 km","₹7,04,199"
3071,Maruti,S,2017,Diesel,"80,900 km","₹8,54,099"
3072,Maruti,Baleno,2017,Petrol,"21,954 km","₹5,55,599"
3073,KIA,SELTOS,2020,Petrol,"2,787 km","₹19,69,399"
3074,Maruti,Swift,2013,Diesel,"74,296 km","₹5,28,199"
3075,Hyundai,Grand,2016,Petrol,"46,758 km","₹4,63,799"
3076,Maruti,Baleno,2018,Petrol,"9,439 km","₹6,03,999"
3077,Hyundai,Grand,2019,Petrol,"7,469 km","₹5,40,199"
3078,Hyundai,Grand,2017,Diesel,"32,683 km","₹4,89,199"
3079,Maruti,Alto,2015,Petrol,"64,611 km","₹3,13,999"
3080,Hyundai,Grand,2017,Petrol,"20,910 km","₹4,99,799"
3081,Maruti,Alto,2012,Petrol,"5,126 km","₹2,19,699"
3082,Maruti,Baleno,2019,Petrol,"10,458 km","₹6,95,599"
3083,Renault,Kwid,2019,Petrol,"17,595 km","₹4,26,299"
3084,Hyundai,Grand,2016,Petrol,"30,912 km","₹4,48,999"
3085,Maruti,Vitara,2017,Diesel,"98,197 km","₹7,54,699"
3086,Maruti,Alto,2017,Petrol,"54,305 km","₹3,00,099"
3087,Hyundai,Grand,2016,Petrol,"36,247 km","₹4,85,199"
3088,Maruti,Vitara,2018,Diesel,"38,175 km","₹9,21,299"
3089,Maruti,Celerio,2018,Petrol,"20,753 km","₹4,63,399"
3090,Hyundai,NEW,2019,Petrol,"2,639 km","₹5,49,399"
3091,Maruti,Dzire,2018,Diesel,"64,285 km","₹7,30,799"
3092,Ford,Ecosport,2019,Petrol,"22,773 km","₹9,57,199"
3093,Maruti,Vitara,2019,Diesel,"31,803 km","₹9,16,799"
3094,Maruti,Alto,2014,Petrol,"46,886 km","₹2,69,899"
3095,Maruti,Swift,2013,Petrol,"27,784 km","₹4,59,199"
3096,Maruti,Celerio,2017,Petrol,"4,520 km","₹4,61,499"
3097,Maruti,Alto,2015,Petrol,"32,560 km","₹2,58,399"
3098,Maruti,Alto,2015,Petrol,"25,490 km","₹3,26,399"
3099,Hyundai,Grand,2017,Petrol,"27,268 km","₹5,46,499"
3100,Maruti,Alto,2018,Petrol,"14,908 km","₹3,84,699"
3101,Maruti,Alto,2017,Petrol,"18,797 km","₹3,23,899"
3102,Maruti,Alto,2018,Petrol,"27,957 km","₹3,24,299"
3103,Maruti,Alto,2017,Petrol,"22,244 km","₹3,26,599"
3104,Maruti,Ertiga,2016,Diesel,"51,157 km","₹7,79,799"
3105,Maruti,Celerio,2016,Petrol,"95,276 km","₹3,91,799"
3106,Maruti,XL6,2021,Petrol,"9,153 km","₹11,90,299"
3107,Maruti,Swift,2017,Petrol,"14,505 km","₹5,43,299"
3108,Ford,Ecosport,2014,Petrol,"41,955 km","₹4,51,099"
3109,Maruti,Baleno,2017,Petrol,"19,149 km","₹5,95,799"
