,Brand,Model,Year,Fuel,KM driven,Price
1271,Maruti,Ritz,2013,Petrol,"37,930 km","₹4,09,599"
1272,Maruti,Celerio,2015,Petrol,"26,809 km","₹4,52,899"
1273,Maruti,Eeco,2019,Petrol,"24,484 km","₹4,57,999"
1274,Maruti,Eeco,2019,Petrol,"27,918 km","₹4,41,199"
1275,Maruti,Alto,2016,Petrol,"17,173 km","₹3,14,199"
1276,Maruti,Wagon,2014,Petrol,"45,572 km","₹4,39,699"
1277,Maruti,Wagon,2015,Petrol,"15,893 km","₹4,21,499"
1278,Maruti,Eeco,2019,Petrol,"8,409 km","₹4,93,699"
1279,Maruti,Ritz,2011,Petrol,"33,079 km","₹4,67,599"
1280,Maruti,Alto,2017,Petrol,"6,290 km","₹3,43,999"
1281,Maruti,Alto,2015,Petrol,"22,584 km","₹3,53,699"
1282,Maruti,Alto,2016,Petrol,"29,240 km","₹4,00,599"
1283,Maruti,Alto,2016,Petrol,"22,469 km","₹3,88,599"
1284,Ford,FREESTYLE,2018,Petrol,"35,175 km","₹6,16,299"
1285,Maruti,Celerio,2015,Petrol,"19,324 km","₹4,10,585"
1286,Maruti,Celerio,2017,Petrol,"53,187 km","₹4,56,999"
1287,Tata,Tiago,2020,Petrol,"7,771 km","₹6,01,599"
1288,Maruti,Alto,2018,Petrol,"5,315 km","₹4,01,099"
1289,Maruti,IGNIS,2017,Diesel,"48,110 km","₹5,58,699"
1290,Hyundai,Grand,2014,Petrol,"80,080 km","₹4,69,299"
1291,Maruti,Alto,2018,Petrol,"4,074 km","₹4,15,299"
1292,Skoda,Octavia,2015,Diesel,"55,087 km","₹13,22,899"
1293,Hyundai,Tucson,2017,Diesel,"34,941 km","₹20,67,099"
1294,Ford,Figo,2012,Petrol,"26,224 km","₹3,94,799"
1295,Maruti,Eeco,2016,Petrol,"22,828 km","₹3,76,399"
1296,Hyundai,i20,2009,Petrol,"42,118 km","₹3,25,399"
1297,Honda,City,2017,Petrol,"18,986 km","₹8,07,399"
1298,Hyundai,Elite,2015,Petrol,"57,614 km","₹6,09,899"
1299,Ford,Figo,2017,Petrol,"22,645 km","₹5,57,999"
1300,Maruti,Dzire,2017,Diesel,"46,873 km","₹6,27,699"
1301,Tata,Tiago,2016,Petrol,"19,248 km","₹4,27,799"
1302,Tata,NEXON,2018,Petrol,"33,996 km","₹7,76,899"
1303,Maruti,Wagon,2014,Petrol,"57,378 km","₹3,52,399"
1304,Maruti,Wagon,2016,Petrol,"17,120 km","₹4,02,599"
1305,Maruti,Swift,2015,Petrol,"62,156 km","₹5,10,799"
1306,Toyota,Innova,2014,Diesel,"60,580 km","₹13,49,699"
1307,Ford,FREESTYLE,2018,Petrol,"24,522 km","₹6,24,399"
1308,Ford,New,2017,Petrol,"16,215 km","₹5,07,199"
1309,Maruti,Swift,2017,Petrol,"56,166 km","₹5,96,099"
1310,Hyundai,Elite,2015,Diesel,"92,769 km","₹6,42,199"
1311,Skoda,Rapid,2019,Petrol,"3,876 km","₹9,55,699"
1312,Honda,City,2017,Petrol,"29,409 km","₹8,18,299"
1313,Maruti,Swift,2018,Petrol,"28,532 km","₹6,07,499"
1314,Volkswagen,Polo,2017,Petrol,"35,781 km","₹6,95,099"
1315,Hyundai,Elite,2016,Petrol,"38,686 km","₹6,72,999"
1316,Maruti,Celerio,2017,Petrol,"36,893 km","₹4,54,899"
1317,Maruti,Swift,2017,Petrol,"11,704 km","₹5,35,999"
1318,Toyota,Corolla,2014,Diesel,"64,294 km","₹9,82,999"
1319,Maruti,Celerio,2017,Petrol,"35,492 km","₹4,56,499"
1320,Maruti,Celerio,2017,Petrol,"45,379 km","₹4,57,199"
1321,Maruti,Ertiga,2020,Petrol,"6,759 km","₹9,19,299"
1322,Tata,NEXON,2020,Petrol,"35,736 km","₹10,45,999"
1323,Tata,Hexa,2017,Diesel,"50,519 km","₹13,22,899"
1324,Ford,Ecosport,2013,Petrol,"68,695 km","₹5,59,399"
1325,Maruti,Ritz,2014,Petrol,"27,307 km","₹4,52,099"
1326,Maruti,Eeco,2018,Petrol,"17,010 km","₹4,14,599"
1327,Tata,Tiago,2021,Petrol,"6,217 km","₹7,05,599"
1328,Honda,City,2017,Petrol,"27,403 km","₹8,58,799"
1329,Honda,WR-V,2017,Petrol,"57,837 km","₹6,81,599"
1330,Maruti,New,2019,Petrol,"19,182 km","₹5,03,499"
1331,Honda,Amaze,2018,Petrol,"13,311 km","₹6,11,999"
1332,Hyundai,Elite,2018,Diesel,"63,772 km","₹8,05,699"
1333,Maruti,Alto,2014,Petrol,"66,206 km","₹3,27,899"
1334,Hyundai,Elite,2016,Petrol,"33,068 km","₹6,07,499"
1335,Hyundai,Eon,2014,Petrol,"38,596 km","₹2,71,699"
1336,Tata,Tiago,2018,Petrol,"9,845 km","₹5,48,399"
1337,Renault,Duster,2017,Diesel,"22,087 km","₹8,90,599"
1338,Hyundai,Santro,2011,Petrol,"70,009 km","₹2,57,899"
1339,Maruti,Dzire,2019,Petrol,"11,865 km","₹7,70,499"
1340,Ford,Ecosport,2018,Diesel,"29,824 km","₹9,23,299"
1341,Volkswagen,Vento,2020,Petrol,"8,464 km","₹13,47,999"
1342,Hyundai,i10,2009,Petrol,"58,491 km","₹2,52,399"
1343,Maruti,Alto,2012,Petrol,"39,853 km","₹2,55,699"
1344,Renault,TRIBER,2020,Petrol,"8,050 km","₹7,81,799"
1345,Toyota,Corolla,2016,Petrol,"18,351 km","₹10,53,899"
1346,Ford,Ecosport,2018,Petrol,"13,002 km","₹10,68,199"
1347,Volkswagen,Ameo,2018,Petrol,"14,079 km","₹6,15,699"
1348,Maruti,Vitara,2019,Diesel,"27,498 km","₹8,48,399"
1349,Honda,WR-V,2018,Petrol,"54,689 km","₹7,30,999"
1350,Maruti,Swift,2010,Petrol,"41,578 km","₹3,90,799"
1351,Renault,Kwid,2018,Petrol,"11,083 km","₹4,12,099"
1352,Hyundai,Grand,2016,Petrol,"5,214 km","₹5,05,599"
1353,Maruti,Swift,2012,Diesel,"97,180 km","₹5,09,499"
